vendor,current_price,old_price,product_name,month
Metro,2.29,2.4899999999999998,Diced White Potatoes,9
Metro,2.29,2.4899999999999998,Diced White Potatoes,9
Metro,2.29,2.4899999999999998,Diced White Potatoes,9
Metro,2.29,2.4899999999999998,Diced White Potatoes,9
Metro,2.29,2.4899999999999998,Diced White Potatoes,9
Metro,2.29,2.4899999999999998,Diced White Potatoes,9
Metro,2.29,2.4899999999999998,Diced White Potatoes,10
Metro,2.29,2.4899999999999998,Diced White Potatoes,10
Metro,2.29,2.4899999999999998,Diced White Potatoes,10
Metro,2.29,2.4899999999999998,Diced White Potatoes,10
Metro,2.29,2.4899999999999998,Diced White Potatoes,10
Metro,2.29,2.4899999999999998,Diced White Potatoes,10
Metro,2.29,2.4899999999999998,Diced White Potatoes,10
Metro,2.29,2.4899999999999998,Diced White Potatoes,10
Metro,2.29,2.4899999999999998,Diced White Potatoes,10
Metro,2.29,2.4899999999999998,Diced White Potatoes,10
Metro,2.29,2.4899999999999998,Diced White Potatoes,10
Metro,2.29,2.4899999999999998,Diced White Potatoes,10
Metro,2.29,2.4899999999999998,Diced White Potatoes,10
Metro,2.29,2.4899999999999998,Diced White Potatoes,10
Metro,2.29,2.4899999999999998,Diced White Potatoes,10
Metro,2.29,2.4899999999999998,Diced White Potatoes,10
Metro,2.29,2.4899999999999998,Diced White Potatoes,10
Metro,2.29,2.4899999999999998,Diced White Potatoes,10
Metro,2.29,2.4899999999999998,Diced White Potatoes,10
Metro,2.29,2.4899999999999998,Diced White Potatoes,10
Metro,2.29,2.4899999999999998,Diced White Potatoes,10
Metro,2.29,2.4899999999999998,Diced White Potatoes,10
Metro,2.29,2.4899999999999998,Diced White Potatoes,11
Metro,2.29,2.4899999999999998,Diced White Potatoes,11
Metro,2.29,2.4899999999999998,Diced White Potatoes,11
Metro,2.29,2.4899999999999998,Diced White Potatoes,11
Metro,2.29,2.4899999999999998,Diced White Potatoes,11
Metro,2,2.4899999999999998,Whole White Potatoes,6
Metro,2,2.4899999999999998,Whole White Potatoes,6
Metro,2,2.4899999999999998,Whole White Potatoes,6
Metro,2,2.4899999999999998,Whole White Potatoes,6
Metro,2,2.4899999999999998,Whole White Potatoes,6
Metro,2,2.4899999999999998,Whole White Potatoes,6
Metro,2,2.4899999999999998,Whole White Potatoes,6
Metro,2,2.4899999999999998,Whole White Potatoes,6
Metro,2,2.4899999999999998,Whole White Potatoes,6
Metro,2,2.4899999999999998,Whole White Potatoes,6
Metro,2,2.4899999999999998,Whole White Potatoes,6
Metro,2,2.4899999999999998,Whole White Potatoes,6
Metro,2,2.4899999999999998,Whole White Potatoes,6
Metro,2,2.4899999999999998,Whole White Potatoes,6
Metro,2,2.4899999999999998,Whole White Potatoes,6
Metro,2,2.4899999999999998,Whole White Potatoes,6
Metro,2,2.4899999999999998,Whole White Potatoes,6
Metro,2,2.4899999999999998,Whole White Potatoes,6
Metro,2,2.4899999999999998,Whole White Potatoes,6
Metro,2,2.4899999999999998,Whole White Potatoes,6
Metro,2,2.4899999999999998,Whole White Potatoes,6
Metro,2,2.4899999999999998,Whole White Potatoes,6
Metro,2,2.4899999999999998,Whole White Potatoes,6
Metro,2,2.4899999999999998,Whole White Potatoes,6
Metro,2,2.4899999999999998,Whole White Potatoes,6
Metro,2,2.4899999999999998,Whole White Potatoes,7
Metro,2,2.4899999999999998,Whole White Potatoes,7
Metro,2,2.4899999999999998,Whole White Potatoes,7
Metro,2,2.4899999999999998,Whole White Potatoes,7
Metro,2,2.4899999999999998,Whole White Potatoes,7
Metro,2,2.4899999999999998,Whole White Potatoes,7
Metro,2,2.4899999999999998,Whole White Potatoes,7
Metro,2,2.4899999999999998,Whole White Potatoes,7
Metro,2,2.4899999999999998,Whole White Potatoes,7
Metro,2,2.4899999999999998,Whole White Potatoes,7
Metro,2,2.4899999999999998,Whole White Potatoes,7
Metro,2,2.4899999999999998,Whole White Potatoes,7
Metro,2,2.4899999999999998,Whole White Potatoes,7
Metro,2,2.4899999999999998,Whole White Potatoes,7
